,ratings,location,date,pro,con,up_vote,down_vote,message
3439,5.0,"Philadelphia, PA",2018-02-01,Everything,Car takes a beating,1,5,"The best job I have ever been apart of. You can make unlimited amounts of money and have all the free time in the world. Just be prepared to put your personal car to work with miles, tires, gas and brakes."
3440,1.0,"Indianapolis, IN",2018-02-01,,,8,1,"Poor management. lack of support, to many contractors and unreliable technology. Hardest part of the job would be competing with other contractors for rides. As an employee for Uber you are very disposable, they have hundreds if not thousands of drivers in an area and you all compete for riders. The best parts of the job are meting interesting people, and you work w/e hours you want."
3441,5.0,"Fort Lauderdale, FL",2018-02-01,,,1,2,I think uber is a great place when you need a flex schedule for personal issues  or other reasons I would recommended because of the instant pay out that
3442,5.0,"Charlotte, NC",2018-01-31,daily pay,no residuals,1,3,there should be a social event to bring people together with mutual respect for the uber craft.  teaching drivers how to maximize time and return on hours invested.  I enjoy meeting new people.
3443,4.0,"Washington, DC",2018-01-31,,,1,1,Relaxing work at my leisure meet great people and a great atmosphere for networking.  Great referral bonuses. Opportunity to learn more about the geographical location of DC
3444,3.0,"New York, NY",2018-01-30,,,9,1,"do even try company makes money not you the driver too many expenses stressfull,client treat as a maid because they rate you , no tips is allowed ,must carry animals."
3445,5.0,"Dania Beach, FL",2018-01-30,"Flexible hours, great management",Sometimes you get low acceptance rates and it takes a week to change it,1,4,One of the best jobs I've ever had.  I highly recommend this job if you are looking for something with flexible hours and you can provide your own transportation.
3446,5.0,"Bayonne, NJ",2018-01-29,,,,2,"I absolutely love working with Uber. As a outside Sales representative, I would have long days of work traveling between my client's place of business. Now instead of driving all day to make sales, I make money as I drive."
3447,5.0,"Kansas City, MO",2018-01-28,,,3,2,"As a driver, you set your own schedule and work when you want. You get the opportunity to meet many different people, and you can decide how many or few hours you want to work. Benefits include medical, dental and life insurance (OPTIONAL), as well as fuel card and instant pay card services."
3448,2.0,"Huntington Beach, CA",2018-01-28,Set your own hours.,Everything else.,2,,Working for Uber means you get part of the pay but all of the expenses related to upkeep of your vehicle as well as gasoline. In the long run it was not worth it to me to continue.
3449,3.0,"Port Saint Lucie, FL",2018-01-28,make your own schedule,not enough money,1,,Very lonely and hard to take it seriously.  I would work when I want to and spend a lot of time waiting around to get called onto a ride because of the area I worked in which made it hard to be professional.
3450,5.0,"Los Angeles, CA",2018-01-27,Everything,You never know what your gonna get! So be careful.,,1,I love this job cuz im my own boss. I work when i want and make what i want and pride myself on deliverying the best professional service i can. 5 stars baby!!
3451,5.0,"Fall River, MA",2018-01-26,,,,1,You make your own hours and drive where you want. You also get to meet new people which is great. The only thing is if you aren’t near a big city you generally don’t get as much support when it comes to the app and customer service.
3452,1.0,"Sacramento, CA",2018-01-26,Set your own hours.,Pay has decreased.,6,,"Pay continues to decrease, making it a unstable business model for it's independent contractors. There is too much overhead and not enough profit. I would not recommend this career to anyone."
3453,5.0,"Saint Paul, MN",2018-01-26,See the entire state,Non,,3,Excellent place to work. Good Pay Meet New People DailyThe Experience is great Optional Food Delivery find tons of new Places to shop and eat Great interaction with Passengers
3454,4.0,"Birmingham, AL",2018-01-25,flexible hours,no benefits and wear on personal vehicle,5,,Lots of trips in personal car to make a living not worth the time spent daily. I did enjoy the flexibility of the hours to work at your own pace.But I can offer a lot more to any company that I'm employed by.
3455,4.0,"Audubon, NJ",2018-01-25,I'm in control,Not to many weekends off,,4,Since I've been with Uber I have come to learn that being a contractor is one of the best things you can be if you are a highly self motivated person. The thing I like most is that I'm in control of how much I make and when I make it. UBER has taught me some much about myself and how much of an asset I am to any partnership. I've become a more self reliant person more so than before and I am more motivated to succeed at whatever I do.
3456,2.0,"Birmingham, AL",2018-01-25,You make your own hours,pay too low considering expenses to operate,3,,"In Birmingham, you don't make any money by the time you pay for gas and upkeep on your car.  I have had customers who wanted you to take them less than 1/2 a mile and I would make $2.78.  I had driven as much as 5 miles to get the person.  That's just not right.  There should be a minimum charge of $10.  Then you wouldn't have such ridiculous fares.  These customers don't tip either."
3457,5.0,"Los Angeles County, CA",2018-01-25,,,,1,I LOVE DRIVING UBER. It fun and YOU meet a variety of people NICE MEAN AND in the middle. I LOVE THAT I can turn on the app and start working at anytime.
3458,3.0,"Boston, MA",2018-12-11,,,2,,"Had to write this in order to move along the process,It's Uber, get what you put into it, compensation was ok, some weird passengers, most were very nice"
3459,4.0,"Houston, TX",2018-01-24,,,4,1,"Uber was great, driving is easy, the only hard part was finding people some times. The people you meet are sometimes very entertaining, I wouldn't recommend it to anyone that is easily aggravated by little things."
3460,1.0,"Dallas, TX",2018-01-24,,,4,,"Uber used to be very professional, respectful and promising but recently Uber qualities has gone done from its top level to far beyond. uber used to treat both passengers and drivers well enough by providing enough rides to drivers so drivers can make extra little income whereas passengers used to get promotional stuffs for free rides, likewise."
3461,4.0,Colorado,2018-01-24,,,1,1,Its a good job however still not quite enough buisness in Colorado springs to make a full living... Otherwise its a pretty good job. Set your own schedule.
3462,5.0,"Detroit, MI",2018-01-24,,,2,,"I really like to work with Uber, because  Uber is more professional business and really helpful to their associate. I can psychically see their office in MI. and I can talk with help desk whenever I needed. So I am really happy to work with Uber"
3463,2.0,"Tacoma, WA",2018-01-23,work when you want.,"health care, benefits, steady pay",3,,"As far as UBER goes. I am a independent UBER partner in Washington.  I have a business license to drive in cities like : Tacoma , Seattle and Olympia. The benefits you pay out of pocket for. The compensation for driving is about 75cents per mile.  overall  it is a good way to make extra pocket money more  quickly than a weekly paycheck. I use it to supplement my income not as a primary means of making a living. there are so many drivers for UBER that there is not a lot of money during the week the week ends and events are the best."
3464,4.0,"Kansas City, MO",2018-01-23,Autonomy,Lack of upward advancement,,,"-If you work hard and work smart, you can earn a decent wage-The ability to work at your discretion is a big plus-Most enjoyable part of the job for me was constant interaction with people"
3465,5.0,NV,2018-01-22,Break time whenever I choose,The pay could be more,,,I like working for Uber because I can choose my own hours and drive any day of the week and any time of the day. They do offer health insurance and discounts for me to use and a gas card. I enjoy chatting with my passengers and getting them to their destination safely.
3466,5.0,"Chicago, IL",2018-01-22,,,1,,A typical day would be to have about 20 fares.  I really get to learn how to best navigate in the chicagoland area.  Im my own boss.  Relaxed work place culture.  The hardest part of the job is sitting for long periods and the pay isnt the best.  The most enjoyable part of the job is that i can work whenever my life schedule allows me too.
3467,4.0,"Savannah, GA",2018-01-22,,,,,"I likeed working at UBER. However, there has recently be an influx of drivers making it difficult to get riders. There as become so much competition where I sued to make $350.00 to $400.00 per day, I sometimes make less than $100.00 per day."
3468,3.0,"San Francisco Bay Area, CA",2018-01-22,,,,1,As an independent driver it was good for making extra money but it wasn't good for a long term full-time job. There was a lot of wear and tear on my car and not much help with maintenance from the company.
3469,2.0,"Arlington, TX",2018-01-22,Own schedule.,"Risky, traffic, buy your own gas and upkeep on car.",1,,"If you want to do this job full time your probaly going to end up broke at some point. It is a lot of wear and tear on car, which means you are going to have to spend alot of money on car repairs and upkeep on your car. You buy your own gas. It can be a very dangerous job drivind around all the time. If you get in a wreak and your car has to go to body shop, you are out of work for that period of time, which will put you in a hole. You take all the risks out there. After all the problems you in counter, you end up with very little income."
3470,2.0,"Dallas-Fort Worth, TX",2018-01-21,,,,,"I found working with Uber to be very disappointing. Not only were my passengers not able to tip through the ap at the time I drove for Uber, but many of them told me they were encouraged NOT to tip. I really don't understand this at all. It was also difficult to get any help when issues did arise."
3471,4.0,"Orange County, CA",2018-01-21,"Choose your own hours, Tips",Traffic,,,You decide when you work but if those hours don't correspond with active times then the compensation is severely lacking. Can use to your advantage though. Great to supplement income.
3472,5.0,"New York, NY",2018-01-21,,,3,,Good for part-time. You can drive on your own schedule. Flexible. Earn extra cash on side. Good for college students like me. Better than other part time jobs.
3473,5.0,"Detroit, MI",2018-01-20,own hours,no real benefits,3,1,I love the fact you can set your own schedule. i learned a lot from my riders. the pay was good but no management to talk to. i will continue to drive for them if i could
3474,4.0,"San Antonio, TX",2018-01-19,No set schedule,Pay is based entirely off of how many fares you pick up and how far their ride is.,4,,"Working for Uber was quite nice, the app is easy to use, and it is very easy to get set up with them. However, driving for UberX means that there are a lot of short rides that will pay out less than $5, making the trip almost seem not worth it. There are also times where there are little to no requests, or the requests come in slowly, so more hours have to be put in to make a decent amount of money by the end of the day.Overall, if you're looking for a side-job, or a way to make extra money, go for it. If you're looking for full time work, and something with more of a predictable income, this is not the job for you."
3475,4.0,"College Station, TX",2018-01-18,,,1,,Being an Uber driver gave me the freedom to care for my mom who was stricken with cancer.  I couldn't work a full time job because she needed around the clock care.
3476,5.0,"Antioch, CA",2018-01-18,Work when you want.,Weekly and weekend incentive trip bonuses were decreasing consistently for full time drivers.,,1,I would definitely recommend taking the opportunity to make money fast and without any stress. This company is going through a very noticeable change for better.
3477,4.0,"Salt Lake City, UT",2018-01-17,Flexible,Low income,1,,"If you enjoy driving and talking to different people, then you'll like this job.  It is mostly a part-time or supplemental type of job.  If you want to make lots of money Uber driving then you'll need to work evenings and weekends.  When you drive is entirely up to you.  There is no schedule.  It is the most flexible job you'll ever have.  You don't need permission to take a break, or to take an afternoon off, or to take a day off, or to take a week off.  You need to be self-motivated and self-disciplined in order for you to make money.  You absolutely cannot be rude to your passengers.  If you have poor customer service skills, then you'll be a bad Uber driver."
3478,4.0,"Los Angeles, CA",2018-01-17,"Drive as much as you want, Tips, mostly pleasant rider in the areas that I drive, it's fun driving around the areas I go to at night","No benefits, No PTO, 1/40 riders are at times ""rude"" but that's not bad at all",2,,"I've been doing ride share now for 2 and half years and in my opinion it has been paying off. You can basically work anytime and you are in control of how much you work. For the most part it is fun, especially since I strictly drive on the weekends and cater to individuals that go on ""Night Outs"". To me it's only worth driving around these times since there's a demand and also since I do not have to deal with the traffic here in Los Angeles. It's great that Uber now has a method to tip drivers using the app and also the incentives for driving more are certainly a motivator especially late at night. Would I ever do it full time? Unfortunately, NO! The fact that Uber does not provide benefits and paid time off makes it very challenging. Would I continue to drive for Uber part-time......absolutely! It also helps that our neighborhood is at a decent area of the Valley and surrounded by some of the most affluent neighborhoods and cities of Los Angeles & Ventura County which means I get to drive close to home. The riders out here are much more pleasant compared to other areas. Basically, they know how to have a good time but not go over board to the point that they start ""puking"" and trashing your car. As a driver, as long as you can carry a good conversation (or know how to shut up when the rider is not in the mood to chat), not a ""creep"" and ultimately just be aware of your riders ""mood"", you will get rated highly. Bottom line, it's a customer service job and 99% of the time if you respect your riders, they respect you back. Overall it's not a bad gig at all!"
3479,3.0,"Boston, MA",2018-12-11,,,2,,"Had to write this in order to move along the process,It's Uber, get what you put into it, compensation was ok, some weird passengers, most were very nice"
3480,3.0,"Los Angeles County, CA",2018-01-17,You set your own day and time,"If you drive a lot, wear and tear on your car takes its toll.",1,,You meet all kinds of people from all walks of life.  People are usually nice and appreciative of what you provide to them. Not all riders give tips. Do your best to be on time and be exact in location.
3481,3.0,"Denver, CO",2018-01-15,"Make your own ours, quick money","Bad clients, messes up your car",2,,"The 5 star rating system is extremely superficial, the taxes seem to be just a way of not having to deal with the government. They arent really explained till its too late, and the app has a bad interface when it comes to asking questions about personal things"
3482,2.0,"Tallahassee, FL",2018-01-13,Work when you want,Poor clientel. Low wages,3,2,I lost my car my home and is still homeless because of uber they were great at first then they lowered tge rates which is a pay cut for us then lowered it again.  Customer base got worst and worst wage was so low i lost my house car got reposessed save yourself work for ups
3483,2.0,"Los Angeles, CA",2018-01-12,,,,,"it's a job that you do when you don't have a lot of options. The ability to get paid daily is plus, the cons of that is, sometimes the amount gets posted and then retracted."
3484,3.0,"Lexington, KY",2018-01-12,Make your own schedule,Auto wear and tear and potential auto damage,6,,"Make your own hours, be your own boss.  Your effort will reflect your earnings.  This is definitely a better job in a larger city, but you can make enough to help with bills and things anywhere.  Passengers will behave like they are in a normal taxi-cab at times, which can result in car damage or just disrespectful passengers.  Need to be witty and thick skinned at times to tolerate some passengers.  However, bad passengers only represent about 5% of the total.  Most people are still learning how to use the Uber app.  Just be patient with them.  GPS can be faulty at times, so it is best to be a driver somewhere you are very familiar with."
3485,5.0,"Queens, NY",2018-01-11,Own schedule,Must push yourself,,,Overall great job. Easy sign up and can start almost immediately. You work on your own schedule and can stop at any time. They even have destination trips when you need to go somewhere
3486,4.0,"San Francisco, CA 94103",2018-01-11,The freedom to work when you want to day and night.,The paid was not acceptable.,,,The work were both enjoyable and stressful. The hours were flexible and controllable. The pay was average but decease for the hours worked. The customers were very grateful  for an alternative way of getting transported to their desired designation.
3487,1.0,"Dallas, TX",2018-01-10,You can set your own hours,It's impossible to be profitable without breaking the Uber TOS agreement.,3,,The culture is toxic from the board of directors down to the individual drivers. There is no plan for profitability that doesn't include deceiving both the riders and drivers.
3488,5.0,"Atlanta, GA",2018-01-09,,,4,1,Uber is very slow-paced but it is descent money. A typical day at work depends on the day you work. The weekends are better because it is busier. The hardest part of the job is waiting on the next call because you never know when or how long it will take to get one.
3489,5.0,"Des Moines, IA",2018-01-09,"Work when you want, how you want. Easy to start. Challenge of self-employment","Average pay, fares are occasionally (but not usually) hard to get, vehicle wear",2,,"I took up driving with Uber because I'm a full-time student and I needed some extra cash. Uber is just what I needed. It's as flexible as I want it to be--just turn the app on or off whenever I want. The pay isn't astronomical, but I'd say it's reasonable for the work. Signing up was easy, and it's pretty rare that I can't get at least a few fares in an hour. The local support office (Green Light Hub) is extremely friendly and helpful. You can customize your ride to your liking--I started bringing cookies and stuff to give to my riders. I knew one driver who turned his van into a pseudo-cash cab. It's kinda fun. All in all, I'm very satisfied by my experience so far."
3490,5.0,"Blacksburg, VA",2018-01-09,,,,2,As an Uber drive you a 1099 employee. Because of this you are able to work as much as you want or as little as you want. Its very nice to be able to set you own hours. Great for a part time job.
3491,5.0,"Pittsburgh, PA 15232",2018-01-09,freedom,benefits,,,"Fun job, great schedule, freedom, meet awesome people. The only draw back is the amount of miles I put on my van.  There are no medical or retirement benefits."
3492,4.0,"Houston, TX",2018-01-08,Money making venture,No advancement,1,1,No room for advancement and no hooky positions available. The culture is very competitive and there is a lot of miles on my car... but I made money for sure.
3493,4.0,"Philadelphia, PA",2018-01-08,,,1,,great job for some extra cash or if you are in between jobs. Great place to meet new people or find out about employment opportunities. Most passengers are nice and easy going.
3494,5.0,"Colorado Springs, CO",2018-01-08,,,,,I like that the work is flexible and it has helped me make the money I needed quick and easy.  If you are transitioning and want to keep up with bills or make extra money Uber is a great way to do that.  Depending on how much time you want to invest in Uber you can make a lot of money.
3495,4.0,"Dallas, GA",2018-01-08,freedom to choose hours,"low pay, and low tips",2,1,"This is a fun job, giving rides to strangers, and students who need to get somewhere. I feel like I am doing them a favor getting them to a destination and keeping them safe. I wish that I would get more tips.        I have to furnish my own car, a newer Hyundai with no dents or damage, pay for my own gas and repairs."
3496,4.0,"Houston, TX",2018-01-08,,,2,1,Uber is something good for when your employment is having issues or you need money on the side.  Using it as a full time job for myself was extremely hard.  The pay isn't THAT great unless you're magically getting long trips constantly.
3497,1.0,"Washington City, DC",2018-01-07,Nothing,"Wear and tear, working like slave but not enough money..",7,,"Working in DC as Uber black partner. It was great at the beginning but Uber got greedy, added some many cars in system and brought UberX to the market. There is no demand at all for Uber black now. I used to own 2black cars but sold one, about to get rid of other one too. I never seen any company get away with this non sense screwing all their own partners. I don’t recommend anyone working for uber."
3498,5.0,"Charlotte, NC",2018-01-06,,,1,,"I love being able to work around truly passionate people who are ready to change the world. The culture is great, free snacks and food is big plus. I had the opportunity to take ownership of projects within my first monthThe hours are much longer than any other job I've worked in, but this is expected to change as we continue hiring more help"
3499,5.0,"Denver, CO",2018-01-06,"Make your own hours, CASH OUT IMMEDIATELY on the app","No guaranteed salary, drunk passengers",1,3,"I love being an Uber driver, especially as a temporary job. It's nice knowing you can hop in your car and make some decent money on your own terms. I have been doing Uber Eats a lot recently, which is nice if your car is dirty that day or you just want a small break from passengers."
3500,3.0,"Boston, MA",2018-12-11,,,2,,"Had to write this in order to move along the process,It's Uber, get what you put into it, compensation was ok, some weird passengers, most were very nice"
3501,1.0,"Dallas, TX",2018-01-05,My own schedule,Way way underpaid,3,1,"The drivers are left to dry, using up their car and at any moment we could wreck it and they are not going to pay you right! It’s not enough so step it up"
3502,1.0,"Houston, TX",2018-01-04,Flexible schedule,Low pay,6,2,Pay is pretty bad. Wear and tear on your car. Some days there are long waits between orders. Not compensated when you drive (sometimes 10-20 min) to pick up orders from restaurants.
3503,5.0,"Portland, OR",2018-01-03,work any time,no benafets,1,2,i you need money its good you can make a lot of set time away you dont have to be a pro just show uop and be nice people aremostly kind and just need a ride
3504,5.0,"Panama City, FL",2018-01-03,,,,,I love being a rideshare provider for Uber. I love meeting and interacting with new people. The App is user friendly and straight forward to operate. Being able to make my own schedule is fantastic.
3505,4.0,"Pittsburgh, PA",2018-01-02,Work whenever,Terrible pay if you aren't lucky,4,,"The money wasn't the best, but if you got lucky then it was better than a regular seasonal job. The hardest part was the wear and tear on my car, but that's to be expected."
3506,3.0,"Atlanta, GA",2018-01-02,Freedom,Low pay,5,2,"People think they do not need to tip uber drivers. For some reason they think we get paid a lot of money. It is less than minimum wage. I just like people and enjoy helping them get somewhere, and most people are nice to me."
3507,5.0,"New York, NY",2018-01-01,Work whenever you want.,No benefits.,4,,"As an Uber driver, you get the freedom to drive whenever you want. You’re basically your own boss. Typically long hours and great experience is what you get when you drive with Uber. Only thing stressful is traffic."
3508,5.0,"Lafayette, LA",2018-01-01,,,2,,uber is a great opportunity it you can find the best times to drive and are free during those times. uber honestly requires a very free lifestyle to make any kind of decent money.
3509,5.0,"Raleigh-Durham, NC",2018-01-01,,,2,,work what ever hours you see fit. Have any days off you like and create your own work schedule. I would recommend this job to anyone with kids or a busy schedule at home
3510,1.0,"San Francisco, CA",2017-12-31,Worked my own hours,They keep downgrading our pay,6,,When the Ceo calls it Boober in Fortune magazine It tells you about the chavanist  attitudes you   deal withNor do thwy care about the drivers that get attack by Passengers
3511,5.0,"Los Angeles County, CA",2017-12-30,,,3,,"Love working this job, but its unfortunate that my vehicle no longer works for the company due to the year. I have tried any and every way to try to use my vehicle because my riders depend on their rides. Now I have to look for work."
3512,3.0,"Denver County, CO",2017-12-30,"Make your own hours, get out what you put in.",Company poorly handles personal information,3,,"The company as a whole is a good idea, just look at its global spread and convenience. The concept has been proven but another company will perfect it."
3513,4.0,"Phoenix, AZ",2017-12-29,,,7,1,"The most very important things of all about this workplace to is serving the public my customer's . And sometime help some people whom are left out stranded and can't get home form work and don't have no money but walking and running in the dark of the night hours.. Because  they miss the city metro bus during late night. Making sure people get home safe. I know with in my heart when you help some good people out . They will never forget you, are that person. Good deed spread out like wildfire, by word of mouth in the public. I was driver to serve the people of Arizona."
3514,3.0,"Washington, DC",2017-12-29,your choice of work times,Must have your own car or price to costly,4,,12 hour days worked for a uber partner and uber would not let me go from Black SUV  partner to Black SUV Owner. only offered the Uberx which was not cost effective.
3515,5.0,"Salt Lake City, UT",2017-12-28,,,1,1,This is a job on the side. This job allowed me to have flexibility to drive whenever I want to. I had another job but varies with hours so uber varies with hours too.
3516,4.0,"Boston, MA",2017-12-27,,,1,1,"Its a great job to have, you can work as much as you want whenever you want, the day goes by so fast you dont feel it, and the best part is that you get to explore as you make money"
3517,4.0,"Denver, CO",2017-12-27,"schedule, meet great people, networking","deprecation of vehicle, cost of gas, long days",2,1,"Working with Uber as a full time participate can lead to long days with a minimum daily take-home payout.I would recommend to anyone who enjoys driving to use Uber as a part-time job, as a way of making additional income."
3518,5.0,"Oklahoma City, OK",2017-12-27,,,1,2,"I enjoyed working on my time and timely pay, every week. Uber offered oil change and other discounts including tire rotations. I meet some people that became my regulars.n/a"
3519,5.0,"Atlanta, GA",2017-12-26,Fast pay,,,2,Set your own schedule and hours and get paid instantly. Meet and talk to a variety of interesting people. Get to know different towns and cities. Not to mention learning all the back roads.
3520,3.0,"Kansas City, MO",2017-12-24,,,2,,"Dealing with certain crowds, especially nights and weekends can be brutal, but great chances to interact with all sorts of people and also to get to know your city"
3521,3.0,"Boston, MA",2018-12-11,,,2,,"Had to write this in order to move along the process,It's Uber, get what you put into it, compensation was ok, some weird passengers, most were very nice"
3522,5.0,"Dallas, TX",2017-12-24,"Good pay, flexible hours",No benefits,4,,As an Uber driver a typical day for me began at 5am and ended at 10 am.  I would pick up people going to the airport and to work because it was peak time.  I learned the city I lived in inside and out by driving all over.  There is no management in Uber you deal with as a driver nor any kind of workplace culture.  The hardest part of the job is staying positive during the slow times of the day. The most enjoyable part of the job was working during peak hours because you get paid more due to the surges.
3523,3.0,"San Diego, CA",2017-12-24,,,1,,"This job pays well. Being a cab driver is not the ideal job, but I met cool people all the time while making money. It put a lot of wear on my car, but I could work whenever I wanted."
3524,3.0,"Washington, DC",2017-12-22,"Work anytime i want, paid well","No paid vacation, no jod security",1,2,I love working for uber with the acception of a few errors they can fix in the future to accommodate their drivers I think everything is smooth. Certain things they as a company should change is the job penalties and security
3525,4.0,"Washington, DC",2017-12-21,Self employed,low salary and long hours,1,1,I enjoy ubering very much.  Love interacting with various people.  Love driving to different places throughout the city and meeting people.  I love working for myself and setting my own hours.
3526,3.0,"Phoenix, AZ",2017-12-18,your own schedule,not always worth the pay,7,,"You set your own schedule is probably the only benefit. They need to pay more per pick up. Right now how it is, I don't think it's fair as a lot of the pick-up's are far and the drop offs are near."
3527,4.0,"Los Angeles County, CA",2017-12-18,Your Own Time,Gas,,,"Great people from all around the world.  Amazing conversations, as well as seeing different parts of California. Really cool experience. I would recommend it to anyone that is looking to explore, meet new people in a bigger city."
3528,4.0,"San Francisco, CA",2017-12-18,I enjoy meeting people and making my own hours,"Compensation should be higher to account for vehicle wear and tear, fuel costs, and insurance.",1,,"What we as drivers put into this job does not come back to us adequately in the form of compensation.  There needs to be a review of a benefits package to better reward the drivers for building the company to where it is today.  To their credit, Uber is working on making several things better for the drivers and riders alike.  I have been asked by corporate if I would consider being a part of a driver advisory board to meet with company executives to discuss how to make the company more professional, productive, and profitable."
3529,3.0,"Atlanta, GA",2017-12-17,Freedom,Low rates and drunk passengers,,1,Uber is and can be a cool job. It gives you a chance to sort of be your own boss. But u must learn as go. Mistakes are common. You have to have thick skin to be an Uber driver
3530,5.0,"Philadelphia, PA",2017-12-15,Own schedule,,3,,"Freedom to stop and go as you please. You start your car and turn on the Uber/Lyft and wait for someone to hail you. You go to the designated pickup point, pick up your rider and take them to their destination. It is a matter of start and stop on the app. Start when you pick them up and stop when you drop them off. The worst part of the job is when someone hails you and you are just about there and they cancel the ride. That can become very frustrating. It is an interesting job as you can meet people from all different lifestyles, statuses, etc."
3531,4.0,"Greensboro, NC",2017-12-14,,,,,It is very difficult depending on where you live to make this a full time job and there is a great deal of wear and tear on your vehicle.  You can write off expenses and mileage on taxes.
3532,5.0,"Morgantown, WV",2017-12-14,"you make your hours, short hours but decent pay","car problems, occasional drunk",,,"It is a pretty easy job. You drive around, pick up passengers and take them to their destination. You definitely need gps. I really like it cause i would work 20-30 hours on the weekends, and make 300-500 dollars a week. the only problem is what it does to your car. you got to keep your car up. put covers on your seats. people have a tendency to slam doors some times or you get a couple drunks, depending on your town. being an uber driver as a woman wasn't scary, but like i said, depends on where you are from. i think i had like one incident where a guy was inappropriate. it's good for those in big cities or college towns. i know some people who work 40 hours and make over a thousand, especially during certain holidays. saint patty's day was a huge amount of money. i've never worked halloween, but i hear it also. and new years. do it if you want to make a couple extra bucks and you have a pretty decent car. be nice and know where you are going, and people will usually rate you fairly."
3533,3.0,Boston,2017-12-14,,,,11,If you don't drive for uber you should . its one of the best rideshare apps Today . apply now and see how much you can earn weekly by working with uber.
3534,2.0,"Savannah, GA",2017-12-13,,"Policy Sucks, Never know who you are picking up, maintenance and repairs",10,,"I enjoy uber  when I 1st started with them,  only been with this company for two months. I had an accident while transporting an uber driver  and they are refusing to pay for the damage to my car because the damage  to my car is not over their $1,000 damage policy. My insurance will not cover it because I was working for uber. Which mean I have to pay out of pocket.The most concerning thing I learned through this is Uber takes no responsibility for their drivers. The comment to me was ""they're not technically employees, they just use our app."" That's something everyone should be aware of when using Uber.# READ POLICY"
3535,4.0,"Greensboro, NC",2017-12-13,Free time,Gas expenses,,1,Great gig but should provide the gas.  Maybe gas cards will be sent out to uber xl Driver with suv especially need reimbursement for gas expenses. In my opinion.
3536,5.0,"Everett, MA",2017-12-13,,,1,,"Great job for on the go people, great to do between classes and other activities. Also great because you can make your own schedule and work when you are most able to."
3537,5.0,"Chicago, IL",2017-12-13,,,,1,I enjoyed uber for the mere fact i chose my own hours. I loved working for nuber and uber eats and having direct deposit to my debit card. Uber is a fun way to see your own city and meet new people.
3538,5.0,"Fort Worth, TX",2017-12-12,do what you want.,nothing bad to say about this job.,1,4,Love this job...you make your own hours and no one over your back..meet exciting people from all parts of the country and world great job one of the best.
3539,5.0,"Chicago, ik",2017-12-12,Free schedule,Slow pockets duribg the day,1,,This job is great for those who are ready to escape office culture.  You can set your own hours stop your salary is based on your work ethic.   I would still be an uber driver if I still had a cat that was compliant.
3540,2.0,"Chicago, IL",2017-12-11,Work for yourself. Set your own hours.,Too low pay.,5,,"The pay is hardly enough to cover vehicle maintenance and depreciation. If you would like to work for a night or two knowing that you are costing yourself more in the long run on the wear and tear on your vehicle, go ahead and drive for Uber. Unless you have a vehicle specifically for the use of driving, this will not be very profitable in the long run."
3541,1.0,"Houston, TX",2017-12-08,Driving,Unknown elements of the passengers.,2,,"I didn't drive for them for too long as there were various changes that they made with their systems that we had to work with as well as their payments.  But mostly I couldn't deal with the drunk passengers, which was the only really good time to drive."
3542,3.0,"Boston, MA",2018-12-11,,,2,,"Had to write this in order to move along the process,It's Uber, get what you put into it, compensation was ok, some weird passengers, most were very nice"
3543,5.0,"Pompano Beach, FL",2017-12-06,"You can set your own schedule, work when you want to.",Healthcare.,2,1,"Work anywhere, anytime is the key to making money with Uber. Don't be a downer. Be flexable with your time. It will work out in the end. This job is worth exploring your city that you drive in. I drive in South Florida region. Miami-Dade, Broward, and Palm Beach county is my territory and I love it every day."
3544,5.0,"Minneapolis, MN",2017-12-05,,,4,,"-Great work environment, but hard to make ends meat.                  -Only certain times in the day are worth working.-Surcharges aren't frequent enough to cover vehicle expenses."
3545,3.0,"San Francisco, CA",2017-12-04,,,,,It was ok. I wouldn't recommend it but there is the benefit that it is always there if you are in a financial hardship. I appreciate the quick turn around of hiring.
3546,5.0,"Kansas City, MO",2017-12-04,great flexibility,business needs change during year,,,"Uber is great. I can set my own schedule, pick when I want to work and take off when I want. However, I am looking for a permanent job that will be at a set salary."
3547,2.0,"Baton Rouge, LA",2017-12-04,,,1,3,"Not enough Pay. I am not paid enough per ride. The minimum ride is only $3 after Uber takes its cut. Sometimes you deal with a lot from riders, like odors, and bad attitudes and it's not appreciated."
3548,3.0,"Baltimore, MD",2017-12-03,"Self employed, worrk flexible schedule",problem fares,2,,"Considering cost of auto lease, insurance, gas and auto maitenance, was not cost effective or very profitable.  If driving personal auto, would have less overhead and more profits than leasing, but need to consider wear and maintenance costs.  Most difficult part of job was dealing with rude and/or intoxicated passengers."
3549,5.0,"Milwaukee, WI",2017-12-03,,,1,4,"Job works based off of your schedule. Calm and laid back work environment. Good pay per ride, you our able to get a lot of things done outside of your working hours."
3550,3.0,"Newport, RI",2017-12-02,"Flexibility, People, Bonus","Not Profitable, Lack of Support",3,,"After being with Uber for a year, it’s a good job for a bored retiree or someone picking up extra cash.  I really enjoy meeting people and had some great conversations.  You create your own work environment. The flexibility cannot be beat. I’m not happy with conflict resolution from HQ; every answer seems to be scripted. There is a major learning curve with seasons, days and hours. As a sole proprietor, your write-offs will most likely exceed your income (ie you are not in profit). From my experience, it is a great idea that benefitted main office, drivers and riders - main office over extended itself to grow and now exploits drivers. It’s sad because it could be better, but greed tends to spoil many good things."
